test_suite,test_name,smell,metric_value
test_basic.py,test_provide_automatic_options_kwarg,Duplicate Assert,3
test_basic.py,test_request_dispatching,Duplicate Assert,1
test_basic.py,test_url_mapping,Duplicate Assert,2
test_basic.py,test_session,Duplicate Assert,4
test_basic.py,test_session_using_session_settings,Duplicate Assert,4
test_basic.py,test_session_expiration,Duplicate Assert,1
test_basic.py,test_extended_flashing,Duplicate Assert,2
test_basic.py,test_request_processing,Duplicate Assert,1
test_basic.py,test_teardown_request_handler_error,Duplicate Assert,1
test_basic.py,test_trapping_of_bad_request_key_errors,Duplicate Assert,2
test_basic.py,test_response_types,Duplicate Assert,4
test_basic.py,test_make_response,Duplicate Assert,3
test_basic.py,test_make_response_with_response_instance,Duplicate Assert,2
test_basic.py,test_server_name_subdomain,Duplicate Assert,4
test_basic.py,test_before_first_request_functions,Duplicate Assert,1
test_basic.py,test_routing_redirect_debugging,Duplicate Assert,2
test_basic.py,test_subdomain_matching_other_name,Duplicate Assert,1
test_logging.py,test_has_level_handler,Duplicate Assert,2
test_reqctx.py,test_proper_test_request_context,Duplicate Assert,1
test_blueprints.py,test_templates_and_static,Duplicate Assert,1
test_blueprints.py,test_app_request_processing,Duplicate Assert,1
test_config.py,test_from_prefixed_env_nested,Duplicate Assert,1
test_config.py,test_get_namespace,Duplicate Assert,2
test_user_error_handler.py,test_default_error_handler,Duplicate Assert,3
test_cli.py,test_find_best_app,Duplicate Assert,6
test_cli.py,test_scriptinfo,Duplicate Assert,6
test_cli.py,test_appgroup,Duplicate Assert,2
test_templating.py,test_templates_auto_reload,Duplicate Assert,7
test_templating.py,test_template_loader_debugging,Duplicate Assert,2
test_testing.py,test_redirect_keep_session,Duplicate Assert,2
test_testing.py,test_session_transactions,Duplicate Assert,1
test_testing.py,test_reuse_client,Duplicate Assert,1
test_testing.py,test_test_client_calls_teardown_handlers,Duplicate Assert,4
test_testing.py,test_cli_invoke,Duplicate Assert,1
test_basic.py,test_session_expiration,Eager Test,2
test_basic.py,test_request_preprocessing_early_return,Eager Test,2
test_basic.py,test_before_after_request_order,Eager Test,2
test_basic.py,test_inject_blueprint_url_defaults,Eager Test,2
test_signals.py,test_before_render_template,Eager Test,2
test_signals.py,test_request_signals,Eager Test,2
test_signals.py,test_appcontext_signals,Eager Test,2
test_signals.py,test_appcontext_tearing_down_signal,Eager Test,2
test_blueprints.py,test_templates_and_static,Eager Test,2
test_blueprints.py,test_request_processing,Eager Test,2
test_blueprints.py,test_app_request_processing,Eager Test,2
test_json.py,test_bad_request_debug_message,Eager Test,2
test_json.py,test_jsonify_uuid_types,Eager Test,2
test_appctx.py,test_context_refcounts,Eager Test,2
test_testing.py,test_environ_defaults_from_config,Eager Test,2
test_testing.py,test_environ_defaults,Eager Test,2
test_testing.py,test_specify_url_scheme,Eager Test,2
test_testing.py,test_blueprint_with_subdomain,Eager Test,2
test_testing.py,test_session_transactions,Eager Test,2
test_basic.py,test_session_vary_cookie,Conditional Logic,1
test_basic.py,test_extended_flashing,Conditional Logic,1
test_basic.py,test_error_handler_after_processor_error,Conditional Logic,2
test_basic.py,test_build_error_handler,Conditional Logic,1
test_basic.py,test_server_name_subdomain,Conditional Logic,1
test_basic.py,test_exception_propagation,Conditional Logic,2
test_basic.py,test_url_processors,Conditional Logic,1
test_basic.py,test_preserve_only_once,Conditional Logic,1
test_basic.py,test_subdomain_matching,Conditional Logic,1
test_basic.py,test_subdomain_matching_with_ports,Conditional Logic,1
test_basic.py,test_subdomain_matching_other_name,Conditional Logic,1
conftest.py,test_apps,Conditional Logic,1
test_converters.py,test_custom_converters,Conditional Logic,1
test_session_interface.py,test_open_session_with_endpoint,Conditional Logic,1
test_instance_config.py,test_egg_installed_paths,Conditional Logic,1
test_json_tag.py,test_custom_tag,Conditional Logic,1
test_reqctx.py,test_session_dynamic_cookie_name,Conditional Logic,2
test_blueprints.py,test_templates_and_static,Conditional Logic,2
test_blueprints.py,test_default_static_max_age,Conditional Logic,2
test_blueprints.py,test_context_processing,Conditional Logic,2
test_blueprints.py,test_request_processing,Conditional Logic,1
test_blueprints.py,test_app_request_processing,Conditional Logic,1
test_config.py,test_from_prefixed_env_nested,Conditional Logic,1
test_user_error_handler.py,test_error_handler_no_match,Conditional Logic,1
test_json.py,test_jsonify_dicts,Conditional Logic,1
test_json.py,test_jsonify_arrays,Conditional Logic,1
test_json.py,test_jsonify_aware_datetimes,Conditional Logic,1
test_json.py,test_json_customization,Conditional Logic,2
test_json.py,test_blueprint_json_customization,Conditional Logic,1
test_json.py,test_json_key_sorting,Conditional Logic,1
test_cli.py,test_lazy_load_error,Conditional Logic,1
test_cli.py,test_load_dotenv,Conditional Logic,1
test_cli.py,test_dotenv_path,Conditional Logic,1
test_cli.py,test_click_7_deprecated,Conditional Logic,1
test_regression.py,test_aborting,Conditional Logic,1
test_testing.py,test_redirect_keep_session,Conditional Logic,1
test_basic.py,test_teardown_request_handler_error,Exception Handling,2
test_basic.py,test_build_error_handler,Exception Handling,2
test_basic.py,test_app_freed_on_zero_refcount,Exception Handling,1
test_signals.py,test_template_rendered,Exception Handling,1
test_signals.py,test_before_render_template,Exception Handling,1
test_signals.py,test_request_signals,Exception Handling,1
test_signals.py,test_request_exception_signal,Exception Handling,1
test_signals.py,test_appcontext_signals,Exception Handling,1
test_signals.py,test_flash_signal,Exception Handling,1
test_signals.py,test_appcontext_tearing_down_signal,Exception Handling,1
test_instance_config.py,test_egg_installed_paths,Exception Handling,1
test_reqctx.py,test_teardown_with_previous_exception,Exception Handling,1
test_reqctx.py,test_teardown_with_handled_exception,Exception Handling,1
test_reqctx.py,test_context_test,Exception Handling,1
test_blueprints.py,test_templates_and_static,Exception Handling,1
test_blueprints.py,test_default_static_max_age,Exception Handling,1
test_json.py,test_json_key_sorting,Exception Handling,1
test_appctx.py,test_app_tearing_down_with_previous_exception,Exception Handling,1
test_appctx.py,test_app_tearing_down_with_handled_exception_by_except_block,Exception Handling,1
test_appctx.py,test_clean_pop,Exception Handling,1
test_testing.py,test_test_client_context_binding,Exception Handling,1
test_basic.py,test_werkzeug_passthrough_errors,Unknown Test,0
test_views.py,test_basic_view,Unknown Test,0
test_views.py,test_method_based_view,Unknown Test,0
test_views.py,test_view_patching,Unknown Test,0
test_config.py,test_config_from_pyfile,Unknown Test,0
test_config.py,test_config_from_object,Unknown Test,0
test_config.py,test_config_from_file,Unknown Test,0
test_config.py,test_config_from_class,Unknown Test,0
test_basic.py,test_provide_automatic_options_attr,Magic Number,1
test_basic.py,test_provide_automatic_options_kwarg,Magic Number,5
test_basic.py,test_request_dispatching,Magic Number,3
test_basic.py,test_url_mapping,Magic Number,4
test_basic.py,test_session_vary_cookie,Magic Number,1
test_basic.py,test_extended_flashing,Magic Number,2
test_basic.py,test_after_request_processing,Magic Number,1
test_basic.py,test_teardown_request_handler,Magic Number,2
test_basic.py,test_teardown_request_handler_debug_mode,Magic Number,2
test_basic.py,test_teardown_request_handler_error,Magic Number,2
test_basic.py,test_error_handling,Magic Number,3
test_basic.py,test_before_request_and_routing_errors,Magic Number,1
test_basic.py,test_trapping_of_bad_request_key_errors,Magic Number,3
test_basic.py,test_error_handler_after_processor_error,Magic Number,1
test_basic.py,test_response_types,Magic Number,7
test_basic.py,test_make_response,Magic Number,3
test_basic.py,test_make_response_with_response_instance,Magic Number,3
test_basic.py,test_static_files,Magic Number,1
test_basic.py,test_static_url_path,Magic Number,1
test_basic.py,test_static_url_path_with_ending_slash,Magic Number,1
test_basic.py,test_static_url_empty_path,Magic Number,1
test_basic.py,test_static_url_empty_path_default,Magic Number,1
test_basic.py,test_static_folder_with_pathlib_path,Magic Number,1
test_basic.py,test_static_route_with_host_matching,Magic Number,1
test_basic.py,test_server_name_subdomain,Magic Number,1
test_basic.py,test_exception_propagation,Magic Number,1
test_basic.py,test_preserve_remembers_exception,Magic Number,2
test_basic.py,test_get_method_on_g,Magic Number,3
test_basic.py,test_max_cookie_size,Magic Number,3
test_logging.py,test_log_view_exception,Magic Number,1
test_signals.py,test_template_rendered,Magic Number,2
test_signals.py,test_before_render_template,Magic Number,2
test_signals.py,test_request_exception_signal,Magic Number,2
test_signals.py,test_flash_signal,Magic Number,1
test_signals.py,test_appcontext_tearing_down_signal,Magic Number,1
test_async.py,test_async_error_handler,Magic Number,1
test_session_interface.py,test_open_session_with_endpoint,Magic Number,1
test_views.py,test_view_provide_automatic_options_attr,Magic Number,1
test_views.py,test_remove_method_from_parent,Magic Number,1
test_subclassing.py,test_suppressed_exception_logging,Magic Number,1
test_reqctx.py,test_session_error_pops_context,Magic Number,1
test_reqctx.py,test_bad_environ_raises_bad_request,Magic Number,1
test_reqctx.py,test_environ_for_valid_idna_completes,Magic Number,1
test_reqctx.py,test_normal_environ_completes,Magic Number,1
test_blueprints.py,test_blueprint_prefix_slash,Magic Number,1
test_blueprints.py,test_default_static_max_age,Magic Number,1
test_blueprints.py,test_endpoint_decorator,Magic Number,1
test_blueprints.py,test_template_global,Magic Number,1
test_blueprints.py,test_nesting_url_prefixes,Magic Number,1
test_config.py,test_from_prefixed_env,Magic Number,1
test_config.py,test_session_lifetime,Magic Number,1
test_config.py,test_send_file_max_age,Magic Number,2
test_json.py,test_bad_request_debug_message,Magic Number,1
test_json.py,test_json_bad_requests,Magic Number,1
test_json.py,test_modified_url_encoding,Magic Number,1
test_cli.py,test_with_appcontext,Magic Number,1
test_cli.py,test_appgroup,Magic Number,2
test_cli.py,test_flaskgroup,Magic Number,1
test_cli.py,test_flaskgroup_debug,Magic Number,1
test_cli.py,test_no_command_echo_loading_error,Magic Number,1
test_cli.py,test_help_echo_loading_error,Magic Number,1
test_cli.py,test_help_echo_exception,Magic Number,1
test_templating.py,test_template_loader_debugging,Magic Number,1
test_appctx.py,test_app_tearing_down_with_unhandled_exception,Magic Number,1
test_appctx.py,test_context_refcounts,Magic Number,1
test_testing.py,test_session_transactions,Magic Number,3
test_testing.py,test_test_client_context_binding,Magic Number,3
test_testing.py,test_reuse_client,Magic Number,2
test_testing.py,test_full_url_request,Magic Number,1
test_testing.py,test_json_request_and_response,Magic Number,1
test_testing.py,test_client_json_no_app_context,Magic Number,1
test_basic.py,test_provide_automatic_options_attr,Assertion Roullete,2
test_basic.py,test_provide_automatic_options_kwarg,Assertion Roullete,9
test_basic.py,test_request_dispatching,Assertion Roullete,7
test_basic.py,test_url_mapping,Assertion Roullete,9
test_basic.py,test_werkzeug_routing,Assertion Roullete,2
test_basic.py,test_endpoint_decorator,Assertion Roullete,2
test_basic.py,test_session,Assertion Roullete,9
test_basic.py,test_session_using_server_name,Assertion Roullete,2
test_basic.py,test_session_using_server_name_and_port,Assertion Roullete,2
test_basic.py,test_session_using_server_name_port_and_path,Assertion Roullete,3
test_basic.py,test_session_using_session_settings,Assertion Roullete,10
test_basic.py,test_session_using_samesite_attribute,Assertion Roullete,3
test_basic.py,test_session_localhost_warning,Assertion Roullete,2
test_basic.py,test_session_ip_warning,Assertion Roullete,2
test_basic.py,test_missing_session,Assertion Roullete,2
test_basic.py,test_session_expiration,Assertion Roullete,7
test_basic.py,test_session_stored_last,Assertion Roullete,2
test_basic.py,test_session_special_types,Assertion Roullete,9
test_basic.py,test_session_cookie_setting,Assertion Roullete,5
test_basic.py,test_session_vary_cookie,Assertion Roullete,3
test_basic.py,test_flashes,Assertion Roullete,2
test_basic.py,test_extended_flashing,Assertion Roullete,7
test_basic.py,test_request_processing,Assertion Roullete,5
test_basic.py,test_after_request_processing,Assertion Roullete,2
test_basic.py,test_teardown_request_handler,Assertion Roullete,3
test_basic.py,test_teardown_request_handler_debug_mode,Assertion Roullete,3
test_basic.py,test_teardown_request_handler_error,Assertion Roullete,5
test_basic.py,test_error_handling,Assertion Roullete,6
test_basic.py,test_error_handling_processing,Assertion Roullete,2
test_basic.py,test_baseexception_error_handling,Assertion Roullete,2
test_basic.py,test_before_request_and_routing_errors,Assertion Roullete,2
test_basic.py,test_http_error_subclass_handling,Assertion Roullete,3
test_basic.py,test_errorhandler_precedence,Assertion Roullete,2
test_basic.py,test_trapping_of_bad_request_key_errors,Assertion Roullete,6
test_basic.py,test_error_handler_after_processor_error,Assertion Roullete,2
test_basic.py,test_enctype_debug_helper,Assertion Roullete,2
test_basic.py,test_response_types,Assertion Roullete,23
test_basic.py,test_response_type_errors,Assertion Roullete,4
test_basic.py,test_make_response,Assertion Roullete,9
test_basic.py,test_make_response_with_response_instance,Assertion Roullete,9
test_basic.py,test_static_files,Assertion Roullete,2
test_basic.py,test_static_route_with_host_matching,Assertion Roullete,2
test_basic.py,test_request_locals,Assertion Roullete,2
test_basic.py,test_server_name_subdomain,Assertion Roullete,7
test_basic.py,test_url_processors,Assertion Roullete,3
test_basic.py,test_inject_blueprint_url_defaults,Assertion Roullete,2
test_basic.py,test_debug_mode_complains_after_first_request,Assertion Roullete,5
test_basic.py,test_before_first_request_functions,Assertion Roullete,3
test_basic.py,test_before_first_request_functions_concurrent,Assertion Roullete,5
test_basic.py,test_routing_redirect_debugging,Assertion Roullete,4
test_basic.py,test_route_decorator_custom_endpoint,Assertion Roullete,6
test_basic.py,test_preserve_only_once,Assertion Roullete,4
test_basic.py,test_preserve_remembers_exception,Assertion Roullete,4
test_basic.py,test_get_method_on_g,Assertion Roullete,3
